Locus tag	Strand	Chr	Begin	End	Length (bp)	Length (aa)	Gene Name	Start codon	Operon	Product	Description	RAST info.	COG
lmo1212	+	NC_003210.1	1233904	1234434	531	176		ATG		hypothetical protein - RAST_Product: FIG00774383: hypothetical protein		FIG00774383: hypothetical protein	Nucleotide transport and metabolism
lmo1213	+	NC_003210.1	1234465	1234776	312	103		ATG		hypothetical protein - RAST_Product: Transcriptional regulator, PadR family		Transcriptional regulator, PadR family	Transcription
lmo1214	+	NC_003210.1	1234779	1235330	552	183		ATG		hypothetical protein - RAST_Product: FIG00774857: hypothetical protein	lmo1214	FIG00774857: hypothetical protein	Not in COGs
lmo1215	+	NC_003210.1	1235670	1236539	870	289		CTG		hypothetical protein	similar to N-acetylmuramoyl-L-alanine amidase (autolysin)	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	Cell motility; Intracellular trafficking and secretion;
lmo1216	+	NC_003210.1	1236836	1237822	987	328		GTG		hypothetical protein - RAST_Product: N-acetylmuramoyl-L-alanine amidase, family 4	similar to N-acetylmuramoyl-L-alanine amidase (autolysin)	N-acetylmuramoyl-L-alanine amidase, family 4	Cell motility; Intracellular trafficking and secretion;
lmo1217	+	NC_003210.1	1237934	1239013	1080	359		ATG	Operon_189	hypothetical protein - RAST_Product: Peptidase, M42 family	similar to endo-1,4-beta-glucanase and to aminopeptidase	Peptidase, M42 family	Carbohydrate transport and metabolism
lmo1218	+	NC_003210.1	1239039	1239797	759	252		ATG	Operon_189	hypothetical protein - RAST_Product: FIG011178: rRNA methylase	similar to rRNA methylase	FIG011178: rRNA methylase	Translation
lmo1219	-	NC_003210.1	1239842	1240201	360	119		ATG		hypothetical protein - RAST_Product: FIG00774663: hypothetical protein	lmo1219	FIG00774663: hypothetical protein	Not in COGs
lmo1220	+	NC_003210.1	1240358	1240681	324	107		ATG		hypothetical protein - RAST_Product: Transcriptional regulator, HxlR family		Transcriptional regulator, HxlR family	Transcription
lmo1221	+	NC_003210.1	1241048	1242100	1053	350	pheS	ATG	Operon_190	phenylalanyl-tRNA synthetase subunit alpha	catalyzes a two-step reaction, first charging a phenylalanine molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA  forms a heterotetramer of alpha(2)beta(2)  binds two magnesium ions per tetramer  type 1 subfamily	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	Translation
lmo1222	+	NC_003210.1	1242100	1244508	2409	802	pheT	ATG	Operon_190	phenylalanyl-tRNA synthetase subunit beta	catalyzes a two-step reaction, first charging a phenylalanine molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA  forms a tetramer of alpha(2)beta(2)  binds two magnesium ions per tetramer  type 2 subfamily	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)	Translation; General function prediction only;
lmo1223	+	NC_003210.1	1244669	1245370	702	233		ATG	Operon_191	hypothetical protein - RAST_Product: ABC transporter ATP-binding protein YvcR	similar to ABC transporter, ATP-binding proteins	ABC transporter ATP-binding protein YvcR	Defense/virulence mechanisms
lmo1224	+	NC_003210.1	1245384	1248794	3411	1136		GTG	Operon_191	hypothetical protein - RAST_Product: ABC transporter permease protein	similar to different proteins	ABC transporter permease protein	Defense/virulence mechanisms
lmo1225	+	NC_003210.1	1248892	1249344	453	150		TTG	Operon_192	hypothetical protein - RAST_Product: transcriptional regulator, MarR family	similar to transcriptional regulator (MarR family).	transcriptional regulator, MarR family	Transcription
lmo1226	+	NC_003210.1	1249360	1252560	3201	1066		ATG	Operon_192	hypothetical protein - RAST_Product: membrane protein	similar to transporter, (to B. subtilis YdgH protein)	membrane protein	General function prediction only
lmo1227	+	NC_003210.1	1252667	1253341	675	224		ATG		uracil-DNA glycosylase	similar to uracil-DNA glycosylase  Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine	Uracil-DNA glycosylase, family 1	Replication, recombination and repair
lmo1228	-	NC_003210.1	1253379	1254305	927	308	rnhC	ATC		ribonuclease HIII	similar to B. subtilis ribonuclease HIII  An endonuclease that specifically degrades the RNA strand of RNA-DNA hybrids	Ribonuclease HIII (EC 3.1.26.4)	Replication, recombination and repair
lmo1229	+	NC_003210.1	1254459	1254722	264	87		GTG	Operon_193	hypothetical protein - RAST_Product: Z-ring-associated protein	similar to B. subtilis YshA protein	Z-ring-associated protein	Function unknown
lmo1230	+	NC_003210.1	1254722	1255264	543	180		ATG	Operon_193	hypothetical protein - RAST_Product: Possible colicin V production protein	similar to B. subtilis YshB protein	Possible colicin V production protein	General function prediction only
lmo1231	+	NC_003210.1	1255357	1257069	1713	570		ATG	Operon_193	hypothetical protein - RAST_Product: DNA polymerase X family	similar to DNA polymerase beta, to B. subtilis YshC protein	DNA polymerase X family	Replication, recombination and repair; Amino acid transport and metabolism; General function prediction only;
lmo1232	+	NC_003210.1	1257092	1259449	2358	785		ATG	Operon_193	recombination and DNA strand exchange inhibitor protein	similar to MutS protein (MutS2)  MutS2  MutS-II  involved in blocking homologous and homeologous recombination  has ATPase activity stimulated by recombination intermediates  inhibits DNA strand exchange	Recombination inhibitory protein MutS2	Replication, recombination and repair
lmo1233	+	NC_003210.1	1259530	1259841	312	103	trxA	ATG	Operon_193	thioredoxin		Thioredoxin	Posttranslational modification, protein turnover, chaperones; Energy production and conversion;
lmo1234	+	NC_003210.1	1259917	1261728	1812	603	uvrC	ATG	Operon_193	excinuclease ABC subunit C	'highly similar to excinuclease ABC subunit C  The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5'' and 3'' sides of the lesion. The N-terminal half is responsible for the 3'' incision and the C-terminal half is responsible for the 5'' incision'	Excinuclease ABC subunit C	Replication, recombination and repair
lmo1235	+	NC_003210.1	1261917	1263131	1215	404		TTG		aspartate kinase	similar to aspartokinase II alpha subunit  catalyzes the formation of 4-phospho-L-aspartate from L-aspartate and ATP, in Bacillus, lysine sensitive  regulated by response to starvation	Aspartokinase (EC 2.7.2.4)	Amino acid transport and metabolism
lmo1236	-	NC_003210.1	1263187	1263681	495	164		TTG		hypothetical protein	similar to B. subtilis YslB protein	FIG00774424: hypothetical protein	Not in COGs
lmo1237	+	NC_003210.1	1263829	1264629	801	266	racE	GTG	Operon_194	glutamate racemase	similar to glutamate racemase  converts L-glutamate to D-glutamate, a component of peptidoglycan	Glutamate racemase (EC 5.1.1.3)	Cell wall/membrane biogenesis
lmo1238	+	NC_003210.1	1264642	1265388	747	248	rph	ATG	Operon_194	ribonuclease PH	'similar to ribonuclease PH  RNase PH  tRNA nucleotidyltransferase  forms hexamers in Bacillus subtilis  phosphoroltic 3''-5'' exoribonuclease  involved in maturation of tRNA precursors and removes terminal nucleotides near CCA acceptor arms of mature tRNAs'	Ribonuclease PH (EC 2.7.7.56)	Translation
lmo1239	+	NC_003210.1	1265392	1266003	612	203		ATG	Operon_194	nucleoside-triphosphatase	Nucleoside-triphosphatase  hydrolyzes non-standard nucleotides such as xanthine and inosine	Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)	Nucleotide transport and metabolism
lmo1240	+	NC_003210.1	1266040	1266564	525	174		ATG	Operon_194	hypothetical protein - RAST_Product: FIG009886: phosphoesterase	conserved hypothetical protein, similar to B. subtilis YsnB protein	FIG009886: phosphoesterase	General function prediction only
lmo1241	+	NC_003210.1	1267115	1268473	1359	452		ATG		hypothetical protein - RAST_Product: putative exported protein	lmo1241	putative exported protein	Function unknown
lmo1242	-	NC_003210.1	1268515	1269108	594	197		ATG	Operon_195	hypothetical protein - RAST_Product: DUF1801 domain-containing protein	similar to B. subtilis YdeI protein	DUF1801 domain-containing protein	Function unknown
lmo1243	-	NC_003210.1	1269262	1269669	408	135		ATG	Operon_195	hypothetical protein - RAST_Product: PhnB protein  putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein	lmo1243	PhnB protein  putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein	Function unknown
lmo1244	+	NC_003210.1	1269834	1270433	600	199		ATG		hypothetical protein - RAST_Product: Hypothetical, related to broad specificity phosphatases COG0406	weakly similar to phosphoglycerate mutase 1	Hypothetical, related to broad specificity phosphatases COG0406	Carbohydrate transport and metabolism
lmo1245	-	NC_003210.1	1270465	1270725	261	86		ATG		hypothetical protein - RAST_Product: FIG00774287: hypothetical protein	lmo1245	FIG00774287: hypothetical protein	Not in COGs
lmo1246	+	NC_003210.1	1270849	1272261	1413	470		ATG	Operon_196	hypothetical protein - RAST_Product: ATP-dependent RNA helicase YxiN	similar to ATP-dependent RNA helicase (DEAD motif)	ATP-dependent RNA helicase YxiN	Replication, recombination and repair; Transcription; Translation;
lmo1247	+	NC_003210.1	1272286	1272549	264	87		ATG	Operon_196	hypothetical protein - RAST_Product: FIG00774866: hypothetical protein	lmo1247	FIG00774866: hypothetical protein	Not in COGs
lmo1248	+	NC_003210.1	1272717	1273193	477	158		ATG		hypothetical protein - RAST_Product: MutT/nudix family protein	weakly similar to 8-oxo-dGTPase (mutT)	MutT/nudix family protein	Replication, recombination and repair; General function prediction only;
lmo1249	-	NC_003210.1	1273231	1273476	246	81		ATG		hypothetical protein - RAST_Product: FIG00774262: hypothetical protein	lmo1249	FIG00774262: hypothetical protein	Not in COGs
lmo1250	-	NC_003210.1	1273473	1274678	1206	401		ATG		hypothetical protein - RAST_Product: transporter	similar to antibiotic resistance protein	transporter	Carbohydrate transport and metabolism; Amino acid transport and metabolism; Inorganic ion transport and metabolism; General function prediction only;
lmo1251	+	NC_003210.1	1274883	1275542	660	219		ATG		hypothetical protein - RAST_Product: transcriptional regulator, Crp/Fnr family	similar to regulator of the Fnr CRP family (including PrfA)	transcriptional regulator, Crp/Fnr family	Signal transduction mechanisms
lmo1252	-	NC_003210.1	1275845	1276693	849	282		ATG		hypothetical protein - RAST_Product: membrane protein	similar to B. subtilis YxkD protein	membrane protein	Function unknown
lmo1253	+	NC_003210.1	1277312	1278025	714	237		TTG		hypothetical protein - RAST_Product: Trehalose operon transcriptional repressor	similar to transcription regulator GntR family	Trehalose operon transcriptional repressor	Transcription
lmo1254	-	NC_003210.1	1278056	1279702	1647	548		ATG	Operon_197	hypothetical protein - RAST_Product: Trehalose-6-phosphate hydrolase (EC 3.2.1.93)	similar to alpha,alpha-phosphotrehalase	Trehalose-6-phosphate hydrolase (EC 3.2.1.93)	Carbohydrate transport and metabolism
lmo1255	-	NC_003210.1	1279721	1281205	1485	494		ATG	Operon_197	hypothetical protein - RAST_Product: PTS system, trehalose-specific IIB component (EC 2.7.1.69) / PTS system, trehalose-specific IIC component (EC 2.7.1.69)	similar to PTS system trehalose specific enzyme IIBC	PTS system, trehalose-specific IIB component (EC 2.7.1.69) / PTS system, trehalose-specific IIC component (EC 2.7.1.69)	Carbohydrate transport and metabolism
lmo1256	+	NC_003210.1	1281321	1281773	453	150		ATG		hypothetical protein - RAST_Product: FIG00774111: hypothetical protein	lmo1256	FIG00774111: hypothetical protein	Replication, recombination and repair; General function prediction only;
lmo1257	-	NC_003210.1	1281820	1282284	465	154		ATG		hypothetical protein - RAST_Product: FIG00774071: hypothetical protein	lmo1257	FIG00774071: hypothetical protein	Not in COGs
lmo1258	+	NC_003210.1	1282473	1283393	921	306		ATG		hypothetical protein - RAST_Product: Lysophospholipase (EC 3.1.1.5)  Monoglyceride lipase (EC 3.1.1.23)  putative	lmo1258	Lysophospholipase (EC 3.1.1.5)  Monoglyceride lipase (EC 3.1.1.23)  putative	Lipid transport and metabolism
lmo1259	-	NC_003210.1	1283413	1284660	1248	415	proA	ATG	Operon_198	gamma-glutamyl phosphate reductase	Catalyzes the phosphorylation of L-glutamate during the proline biosynthesis pathway	Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	Amino acid transport and metabolism
lmo1260	-	NC_003210.1	1284644	1285474	831	276	proB	ATG	Operon_198	gamma-glutamyl kinase	catalyzes the formation of glutamate 5-phosphate from glutamate in proline biosynthesis	Glutamate 5-kinase (EC 2.7.2.11)	Amino acid transport and metabolism
lmo1261	-	NC_003210.1	1285610	1286749	1140	379		TTG		hypothetical protein - RAST_Product: membrane protein	lmo1261	membrane protein	Function unknown
lmo1262	-	NC_003210.1	1286830	1287225	396	131		ATG		hypothetical protein - RAST_Product: Ans operon transcriptional repressor	similar to transcriptional regulator (phage-related)	Ans operon transcriptional repressor	Transcription
lmo1263	+	NC_003210.1	1287376	1287591	216	71		ATG		hypothetical protein - RAST_Product: transcriptional regulator, putative	similar to transcriptional regulator	transcriptional regulator, putative	Transcription
lmo1264	+	NC_003210.1	1287710	1288243	534	177		ATG		hypothetical protein - RAST_Product: FIG00774540: hypothetical protein	lmo1264	FIG00774540: hypothetical protein	General function prediction only
lmo1265	+	NC_003210.1	1288261	1288926	666	221		ATG		hypothetical protein - RAST_Product: FIG00774764: hypothetical protein	weakly similar to oligopeptide ABC transporter AppA (binding protein)	FIG00774764: hypothetical protein	Not in COGs
lmo1266	+	NC_003210.1	1289188	1290126	939	312		ATG		hypothetical protein - RAST_Product: FIG00774727: hypothetical protein	lmo1266	FIG00774727: hypothetical protein	General function prediction only
lmo1267	+	NC_003210.1	1290241	1291524	1284	427	tig	ATG	Operon_199	trigger factor	Tig  RopA  peptidyl-prolyl cis/trans isomerase  promotes folding of newly synthesized proteins  binds ribosomal 50S subunit  forms a homodimer	Cell division trigger factor (EC 5.2.1.8)	Posttranslational modification, protein turnover, chaperones
lmo1268	+	NC_003210.1	1291710	1292969	1260	419	clpX	TTG	Operon_199	ATP-dependent protease ATP-binding subunit ClpX	binds and unfolds substrates as part of the ClpXP protease	ATP-dependent Clp protease ATP-binding subunit ClpX	Posttranslational modification, protein turnover, chaperones
lmo1269	+	NC_003210.1	1293088	1293654	567	188		ATG	Operon_200	hypothetical protein - RAST_Product: Signal peptidase I (EC 3.4.21.89)	similar to type-I signal peptidase	Signal peptidase I (EC 3.4.21.89)	Intracellular trafficking and secretion
lmo1270	+	NC_003210.1	1293689	1294258	570	189		ATG	Operon_200	hypothetical protein - RAST_Product: Signal peptidase I (EC 3.4.21.89)	similar to signal peptidase I	Signal peptidase I (EC 3.4.21.89)	Intracellular trafficking and secretion
lmo1271	+	NC_003210.1	1294360	1294902	543	180		TTG	Operon_200	hypothetical protein - RAST_Product: Signal peptidase I (EC 3.4.21.89)	similar to signal peptidase I	Signal peptidase I (EC 3.4.21.89)	Intracellular trafficking and secretion
lmo1272	+	NC_003210.1	1294912	1295775	864	287	rbgA	ATG	Operon_200	ribosomal biogenesis GTPase	conserved hypothetical protein similar to B. subtilis YlqF protein  essential GTPase  functions in ribosome assembly  binds a unique part of the 23S rRNA  interacts with ribosomal protein L25(Ctc)	50S ribosomal subunit maturation GTPase RbgA (B. subtilis YlqF)	General function prediction only
lmo1273	+	NC_003210.1	1295772	1296557	786	261	rnhB	ATG	Operon_200	ribonuclease HII	similar to ribonuclease H rnh  RNH2  RNase HII  binds manganese  endonuclease which specifically degrades the RNA of RNA-DNA hybrids	Ribonuclease HII (EC 3.1.26.4)	Replication, recombination and repair
lmo1274	+	NC_003210.1	1296691	1297551	861	286		ATG		hypothetical protein - RAST_Product: Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake	similar to polypeptide deformylase, similar to B. subtilis Smf protein	Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake	Replication, recombination and repair; Intracellular trafficking and secretion;
lmo1275	+	NC_003210.1	1297823	1299901	2079	692	topA	ATG	Operon_201	DNA topoisomerase I	highly similar to DNA topoisomerase I TopA  catalyzes the ATP-dependent breakage of single-stranded DNA followed by passage and rejoining, maintains net negative superhelicity	DNA topoisomerase I (EC 5.99.1.2)	Replication, recombination and repair
lmo1276	+	NC_003210.1	1299964	1301268	1305	434	gid	ATG	Operon_201	tRNA (uracil-5-)-methyltransferase Gid	similar glucose inhibited division protein A  TrmFO  Gid  glucose-inhibited division protein  similar to GidA  the gene from Bacillus subtilis encodes a tRNA-methyltransferase that utilizes folate as the carbon donor and bound flavin as reductant  modifies tRNA at position 54 (uridine) of the T-psi loop to form a C5-methyluridine	tRNA:m(5)U-54 MTase gid	Translation
lmo1277	+	NC_003210.1	1301551	1302453	903	300	codV	ATG	Operon_202	hypothetical protein - RAST_Product: Site-specific tyrosine recombinase	similar to integrase/recombinase	Site-specific tyrosine recombinase	Replication, recombination and repair
lmo1278	+	NC_003210.1	1302474	1303013	540	179	clpQ	ATG	Operon_202	ATP-dependent protease peptidase subunit	highly similar to beta-type subunit of the 20S proteasome  heat shock protein involved in degradation of misfolded proteins	ATP-dependent protease HslV (EC 3.4.25.-)	Posttranslational modification, protein turnover, chaperones
lmo1279	+	NC_003210.1	1303027	1304436	1410	469	hslU	TTG	Operon_202	ATP-dependent protease ATP-binding subunit HslU	highly similar to ATP-dependent Clp protease-like proteins  heat shock protein involved in degradation of misfolded proteins	ATP-dependent hsl protease ATP-binding subunit HslU	Posttranslational modification, protein turnover, chaperones
lmo1280	+	NC_003210.1	1304457	1305236	780	259	codY	ATG	Operon_202	transcriptional repressor CodY	highly similar to B. subtilis CodY protein  CodY  DNA-binding protein that represses the expression of many genes that are induced as cells make the transition from rapid exponential growth to stationary phase (By similarity). It is a GTP-binding protein that senses the intracellular GTP concentration as an indicator of nutritional limitations. At low GTP concentration it no longer binds GTP and stop to act as a transcriptional repressor	GTP-sensing transcriptional pleiotropic repressor codY	Transcription
lmo1281	+	NC_003210.1	1305390	1305758	369	122		ATG	Operon_203	hypothetical protein	similar to B. subtilis YneP protein	4-hydroxybenzoyl-CoA thioesterase family active site	General function prediction only
lmo1282	+	NC_003210.1	1305781	1306092	312	103		ATG	Operon_203	hypothetical protein - RAST_Product: FIG00774818: hypothetical protein	similar to B. subtilis YneQ protein	FIG00774818: hypothetical protein	Not in COGs
lmo1283	+	NC_003210.1	1306095	1306967	873	290		ATG	Operon_203	hypothetical protein - RAST_Product: lacX protein, putative	similar to Lactococcus lactis LacX protein	lacX protein, putative	Carbohydrate transport and metabolism
lmo1284	-	NC_003210.1	1307009	1307605	597	198		ATG		hypothetical protein - RAST_Product: Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	conserved hypothetical protein, similar to B. subtilis YneS protein	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	Function unknown
lmo1285	+	NC_003210.1	1307763	1308170	408	135		ATG	Operon_204	hypothetical protein - RAST_Product: Succinyl-CoA synthetase, alpha subunit-related enzymes	conserved hypothetical protein, similar to B. subtilis YneT protein	Succinyl-CoA synthetase, alpha subunit-related enzymes	General function prediction only
lmo1286	+	NC_003210.1	1308351	1310318	1968	655	parE	ATG	Operon_204	DNA topoisomerase IV subunit B	highly similar to DNA gyrase-like protein (subunit B)  decatenates newly replicated chromosomal DNA and relaxes positive and negative DNA supercoiling	Topoisomerase IV subunit B (EC 5.99.1.-)	Replication, recombination and repair
lmo1287	+	NC_003210.1	1310315	1312774	2460	819	parC	TTG	Operon_204	DNA topoisomerase IV subunit A	highly similar to DNA gyrase-like protein (subunit A)  decatenates newly replicated chromosomal DNA and relaxes positive and negative DNA supercoiling	Topoisomerase IV subunit A (EC 5.99.1.-)	Replication, recombination and repair
lmo1288	+	NC_003210.1	1312857	1313324	468	155		ATG		S-ribosylhomocysteinase	S-ribosylhomocysteine lyase  catalyzes the hydrolysis of S-ribosylhomocysteine to homocysteine and autoinducer-2	S-ribosylhomocysteine lyase (EC 4.4.1.21) / Autoinducer-2 production protein LuxS	Signal transduction mechanisms
lmo1289	+	NC_003210.1	1313654	1315435	1782	593		ATG		hypothetical protein	similar to internalin proteins, putative peptidoglycan bound protein (LPXTG motif)	Internalin-like protein (LPXTG motif) Lmo1289 homolog	Function unknown
lmo1290	+	NC_003210.1	1315767	1317563	1797	598		ATG		hypothetical protein - RAST_Product: Internalin-like protein (LPXTG motif) Lmo1290 homolog	similar to internalin proteins, putative peptidoglycan bound protein (LPXTG motif)	Internalin-like protein (LPXTG motif) Lmo1290 homolog	Not in COGs
lmo1291	-	NC_003210.1	1317596	1319464	1869	622		TTG		hypothetical protein - RAST_Product: Acyltransferase	similar to acyltransferase (to B. subtilis YrhL protein)	Acyltransferase	Lipid transport and metabolism
lmo1292	+	NC_003210.1	1319677	1320375	699	232		TTG		hypothetical protein - RAST_Product: Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	similar to glycerophosphodiester phosphodiesterase	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	Energy production and conversion
lmo1293	+	NC_003210.1	1320608	1322284	1677	558	glpD	ATG		hypothetical protein - RAST_Product: Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	similar to glycerol 3 phosphate dehydrogenase	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	Energy production and conversion
lmo1294	+	NC_003210.1	1322410	1323327	918	305	miaA	TTG		tRNA delta(2)-isopentenylpyrophosphate transferase	similar to tRNA isopentenylpyrophosphate transferase  IPP transferase  isopentenyltransferase  involved in tRNA modification  in Escherichia coli this enzyme catalyzes the addition of a delta2-isopentenyl group from dimethylallyl diphosphate to the N6-nitrogen of adenosine adjacent to the anticodon of tRNA species that read codons starting with uracil  further tRNA modifications may occur  mutations in miaA result in defects in translation efficiency and fidelity	tRNA delta(2)-isopentenylpyrophosphate transferase (EC 2.5.1.8)	Translation
lmo1295	+	NC_003210.1	1323450	1323683	234	77		ATG		hypothetical protein - RAST_Product: RNA-binding protein Hfq	similar to host factor-1 protein	RNA-binding protein Hfq	Transcription; Translation;
lmo1296	+	NC_003210.1	1323794	1325017	1224	407		GTG	Operon_205	hypothetical protein - RAST_Product: GTP-binding protein HflX	conserved hypothetical protein similar to B. subtilis YnbA protein	GTP-binding protein HflX	General function prediction only
lmo1297	+	NC_003210.1	1325010	1326236	1227	408		ATG	Operon_205	hypothetical protein - RAST_Product: Aluminum resistance protein	similar to aluminum resistance protein and to B. subtilis YnbB protein (hypothetical)	Aluminum resistance protein	Inorganic ion transport and metabolism
lmo1298	+	NC_003210.1	1326440	1326808	369	122	glnR	GTG		hypothetical protein	similar to glutamine synthetase repressor	transcriptional repressor GlnR	Transcription
lmo1299	+	NC_003210.1	1326879	1328213	1335	444	glnA	ATG		hypothetical protein - RAST_Product: Glutamine synthetase type I (EC 6.3.1.2)	highly similar to glutamine synthetases	Glutamine synthetase type I (EC 6.3.1.2)	Amino acid transport and metabolism
lmo1300	+	NC_003210.1	1328357	1329652	1296	431		ATG		hypothetical protein	similar to arsenic efflux pump protein	Arsenic efflux pump protein	Inorganic ion transport and metabolism
lmo1301	-	NC_003210.1	1329696	1330217	522	173		ATG	Operon_206	hypothetical protein - RAST_Product: acetyltransferase, GNAT family		acetyltransferase, GNAT family	Translation
lmo1302	-	NC_003210.1	1330247	1330861	615	204		ATG	Operon_206	LexA repressor	highly similar to SOS response regulator lexA, transcription repressor protein  Represses a number of genes involved in the response to DNA damage	SOS-response repressor and protease LexA (EC 3.4.21.88)	Transcription; Signal transduction mechanisms;
lmo1303	+	NC_003210.1	1331018	1331347	330	109		ATG		cell division suppressor protein YneA	similar to B. subtilis YneA protein	ABC transport protein, sugar-binding component yneA	Cell wall/membrane biogenesis
lmo1304	+	NC_003210.1	1331439	1331666	228	75		ATG		hypothetical protein - RAST_Product: FIG00774411: hypothetical protein	similar to B. subtilis YnzC protein	FIG00774411: hypothetical protein	Function unknown
lmo1305	+	NC_003210.1	1331813	1333807	1995	664	tkt	TTG		hypothetical protein - RAST_Product: Transketolase (EC 2.2.1.1)	highly similar to transketolase	Transketolase (EC 2.2.1.1)	Carbohydrate transport and metabolism
lmo1306	+	NC_003210.1	1334028	1334267	240	79		ATG		hypothetical protein - RAST_Product: FIG00774758: hypothetical protein	highly similar to B. subtilis YneF protein	FIG00774758: hypothetical protein	Function unknown
lmo1307	-	NC_003210.1	1334318	1335160	843	280		GTG	Operon_207	hypothetical protein - RAST_Product: FIG00774999: hypothetical protein	lmo1307	FIG00774999: hypothetical protein	Not in COGs
lmo1308	-	NC_003210.1	1335179	1335910	732	243		ATG	Operon_207	hypothetical protein - RAST_Product: Ubiquinone/menaquinone biosynthesis methyltransferase UBIE (EC 2.1.1.-)	weakly similar to arginine N-methyltransferases	Ubiquinone/menaquinone biosynthesis methyltransferase UBIE (EC 2.1.1.-)	Secondary metabolites biosynthesis, transport and catabolism; General function prediction only;
lmo1309	-	NC_003210.1	1335932	1336438	507	168		ATG	Operon_207	hypothetical protein - RAST_Product: Co-activator of prophage gene expression IbrB	similar to E. coli YbdM protein	Co-activator of prophage gene expression IbrB	Transcription
lmo1310	-	NC_003210.1	1336448	1337752	1305	434		ATG	Operon_207	hypothetical protein - RAST_Product: Co-activator of prophage gene expression IbrA	similar to E. coli YbdN protein	Co-activator of prophage gene expression IbrA	General function prediction only
lmo1311	-	NC_003210.1	1337742	1338947	1206	401		TTG	Operon_207	hypothetical protein	lmo1311	FIG00774327: hypothetical protein	Transcription; Replication, recombination and repair;
lmo1312	-	NC_003210.1	1338925	1339299	375	124		ATG	Operon_207	hypothetical protein - RAST_Product: FIG00774393: hypothetical protein	lmo1312	FIG00774393: hypothetical protein	Not in COGs
lmo1313	+	NC_003210.1	1339592	1340320	729	242	pyrH	ATG	Operon_208	uridylate kinase	highly similar to uridylate kinases  Catalyzes the phosphorylation of UMP to UDP	Uridylate kinase (EC 2.7.4.-)	Nucleotide transport and metabolism
lmo1314	+	NC_003210.1	1340320	1340877	558	185	frr	ATG	Operon_208	ribosome recycling factor	highly similar to ribosome recycling factors  Rrf  Frr  ribosome-recycling factor  release factor 4  RF4  recycles ribosomes upon translation termination along with release factor RF-3 and elongation factor EF-G  A GTPase-dependent process results in release of 50S from 70S  inhibited by release factor RF-1  essential for viability  structurally similar to tRNAs	Ribosome recycling factor	Translation
lmo1315	+	NC_003210.1	1341107	1341865	759	252		ATG	Operon_209	undecaprenyl pyrophosphate synthase	similar to undecaprenyl diphosphate synthase  catalyzes the formation of undecaprenyl pyrophosphate from isopentenyl pyrophosphate	Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)	Lipid transport and metabolism
lmo1316	+	NC_003210.1	1341879	1342667	789	262	cdsA	TTG	Operon_209	hypothetical protein - RAST_Product: Phosphatidate cytidylyltransferase (EC 2.7.7.41)	similar to phosphatidate cytidylyltransferase (CDP-diglyceride synthase)	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	Lipid transport and metabolism
lmo1317	+	NC_003210.1	1342682	1343824	1143	380		ATG	Operon_209	1-deoxy-D-xylulose 5-phosphate reductoisomerase	similar to deoxyxylulose 5-phosphate reductoisomerase  catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	Lipid transport and metabolism
lmo1318	+	NC_003210.1	1343838	1345100	1263	420		TTG	Operon_209	hypothetical protein - RAST_Product: Intramembrane protease RasP/YluC, implicated in cell division based on FtsL cleavage	Putative zinc metalloprotease Lmo1318	Intramembrane protease RasP/YluC, implicated in cell division based on FtsL cleavage	Cell wall/membrane biogenesis
lmo1319	+	NC_003210.1	1345140	1346846	1707	568	proS	ATG	Operon_209	prolyl-tRNA synthetase	catalyzes the formation of prolyl-tRNA(Pro) from proline and tRNA(Pro)	Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type	Translation
